rateLimitingCodons,antiShineDelgarno,ttDimerCount,otherPyrDimerCount,weightedPyrDimerCount,methylationSites,repeatRuns,deaminationSites,alkylationSites,oxidationSites,miscSites,hairpinSites,insertionSequences
BBa_J01004,3,22,68,124,72.0852,1,7,47,88,34,12,6,0
BBa_J01000,17,32,135,206,148.2394,4,20,38,160,25,23,1,0
BBa_J03008,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J03210,1,24,58,125,65.45019999999998,1,6,47,87,47,16,3,0
BBa_J05112,0,28,68,152,61.97239999999999,4,17,131,92,101,12,18,0
BBa_J05113,0,50,121,219,113.7464,7,27,136,138,108,31,11,0
BBa_J05114,0,55,145,249,138.5399,9,34,170,170,113,36,14,0
BBa_J05115,0,22,87,151,72.3325,4,22,128,83,100,7,6,0
BBa_J07006,1,81,181,419,207.4561,11,15,184,282,163,62,12,0
BBa_J07017,3,171,242,802,310.5718999999999,18,29,489,506,387,101,61,1
BBa_J07018,3,169,243,801,311.14179999999993,18,29,489,505,386,101,61,1
BBa_J07021,8,76,100,341,127.48029999999999,5,10,204,209,159,52,30,0
BBa_J07022,4,42,69,192,88.50169999999999,4,14,94,123,66,28,8,0
BBa_J07046,10,91,108,339,145.4796,13,9,63,242,112,36,11,0
BBa_J07052,13,261,353,1141,457.31249999999994,31,38,552,747,499,136,73,1
BBa_J07048,13,260,353,1139,457.19739999999996,31,38,553,746,498,136,72,1
BBa_J07050,13,261,351,1140,456.0465,31,38,552,747,499,137,72,1
BBa_J07051,13,260,351,1140,456.6214,31,38,553,747,498,137,72,1
BBa_J07054,13,259,351,1136,454.85229999999996,30,38,549,744,497,137,73,1
BBa_J07023,9,76,100,341,127.48029999999999,5,10,203,209,159,51,30,0
BBa_J07053,13,261,352,1140,456.72040000000004,31,38,552,747,498,136,73,1
BBa_J07047,13,260,351,1140,456.6214,31,38,553,747,498,137,72,1
BBa_J07049,13,261,353,1139,457.19739999999996,31,38,553,746,498,136,72,1
BBa_I741010,35,63,188,378,206.13219999999998,6,24,191,248,147,47,7,0
BBa_J07056,13,260,348,1134,453.4762,30,38,552,744,496,135,72,1
BBa_J07057,13,261,348,1136,453.0164,31,38,551,744,498,136,72,1
BBa_J07064,7,109,203,472,219.73449999999994,13,39,248,305,217,67,27,0
BBa_J07059,13,260,349,1137,454.18339999999995,31,38,548,745,498,136,72,1
BBa_J07058,12,258,349,1133,454.71389999999997,31,37,550,742,491,136,72,1
BBa_J07060,13,259,350,1131,453.4551,31,38,544,742,495,135,70,1
BBa_J07063,12,256,347,1127,451.09279999999995,30,36,546,738,491,135,71,1
BBa_J07061,12,259,349,1136,454.1723,30,38,550,744,496,136,73,1
BBa_J100070,0,62,122,227,125.24640000000001,8,12,66,155,94,35,7,0
BBa_J107033,8,68,133,256,137.32459999999995,5,24,64,185,95,28,4,1
BBa_J119040,9,52,152,225,147.97909999999996,5,15,32,162,73,27,3,0
BBa_J10067,4,53,303,409,290.32289999999995,6,42,147,284,94,54,8,0
BBa_J119041,0,62,117,239,127.20710000000001,7,11,102,166,76,37,7,0
BBa_J107059,26,108,242,509,265.60229999999996,9,24,189,356,171,67,18,0
BBa_J120000,38,407,396,1380,550.2123999999999,44,62,271,981,548,146,38,0
BBa_J120015,0,53,90,211,92.78959999999998,6,16,164,142,118,29,16,0
BBa_J120016,0,118,135,500,168.12779999999998,16,16,378,339,300,51,52,0
BBa_J120022,0,5,20,38,16.605999999999998,0,2,38,19,22,10,1,0
BBa_J120001,28,144,86,476,145.2976,14,13,142,312,213,55,19,0
BBa_J120023,0,3,0,9,0.5644,0,0,13,7,4,1,3,0
BBa_J13201,3,13,26,90,33.467800000000004,4,5,44,50,50,9,7,0
BBa_J100100,5,254,552,1019,563.285,27,84,391,722,372,186,32,0
BBa_J120025,46,251,419,931,477.6543999999999,28,55,176,671,310,123,20,0
BBa_J15103,0,15,29,87,33.359899999999996,3,4,43,50,48,12,6,0
BBa_J15101,3,25,53,127,60.7323,6,6,50,84,54,23,4,0
BBa_J15504,8,83,125,378,157.3809,8,11,204,251,180,64,26,1
BBa_J15104,5,33,40,152,58.41009999999999,4,5,88,105,59,20,6,0
BBa_J17003,28,124,157,466,210.04349999999997,17,19,92,340,165,57,10,0
BBa_J176004,0,74,48,307,92.54749999999999,10,8,132,194,159,31,14,0
BBa_J212006,39,278,277,1191,410.697,41,16,366,760,521,130,51,0
BBa_J18960,1,54,130,240,135.25319999999996,8,12,47,155,85,46,5,0
BBa_J18959,0,67,113,245,123.64909999999999,3,11,70,161,107,27,7,0
BBa_J212108,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J23011,5,34,82,131,86.71369999999999,0,19,26,107,34,14,0,0
BBa_J23014,8,73,84,256,105.17999999999999,5,16,88,180,126,39,15,1
BBa_J24002,20,0,60,119,76.15599999999999,0,0,0,119,0,0,0,0
BBa_J23054,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J24808,17,142,160,748,259.4385,21,11,416,479,316,107,51,0
BBa_J24812,27,234,146,900,281.5509,35,23,551,598,454,118,92,0
BBa_J26006,12,101,142,497,179.67559999999997,15,21,192,298,270,48,25,0
BBa_J29009,3,162,208,572,254.3929,15,26,318,421,224,83,39,0
BBa_J29002,14,125,203,520,236.8694,13,24,246,351,215,69,24,0
BBa_J29026,11,58,87,292,122.6645,8,10,107,191,105,36,9,0
BBa_J29024,5,70,113,312,138.88109999999998,10,8,165,206,125,44,16,0
BBa_J29027,5,18,57,122,67.02509999999998,2,6,33,76,34,9,2,0
BBa_J29028,7,82,135,394,168.2114,9,15,176,252,169,82,17,0
BBa_J29029,5,153,248,636,289.8588,19,29,314,416,288,90,34,0
BBa_J29031,2,11,54,83,55.3896,1,5,36,59,16,14,3,0
BBa_J29033,19,130,249,573,300.1991,12,27,228,406,210,57,21,0
BBa_J29037,16,87,132,456,180.38469999999995,18,23,196,292,189,67,14,0
BBa_J29039,2,11,54,83,55.3896,1,5,36,59,16,14,3,0
BBa_J29040,5,56,115,221,114.3998,2,21,110,153,108,32,13,0
BBa_J29041,4,67,125,294,147.3955,6,11,122,209,117,32,13,0
BBa_J29042,0,106,132,396,173.18609999999998,5,5,205,286,148,68,23,0
BBa_J29046,2,85,92,286,117.1002,5,10,174,211,115,42,25,0
BBa_J29047,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J29050,41,206,252,685,326.59869999999995,12,35,196,508,233,66,24,0
BBa_J29051,41,173,291,749,376.93589999999995,17,27,179,546,238,70,24,0
BBa_J29052,16,91,83,346,140.6723,10,8,84,236,124,31,11,0
BBa_J29053,20,37,202,201,184.06809999999996,5,29,51,173,35,30,0,0
BBa_J32002,6,95,172,401,192.324,8,17,234,274,189,71,31,0
BBa_J32004,2,22,27,81,37.00919999999999,0,2,30,63,26,10,2,0
BBa_J32009,21,159,92,536,173.05549999999997,27,8,172,352,250,74,29,0
BBa_J32016,6,77,17,185,45.0997,7,8,44,127,97,19,7,0
BBa_J32018,13,67,230,368,216.70099999999996,4,28,186,250,147,41,20,0
BBa_J32023,5,72,78,210,94.5633,6,16,69,153,72,27,5,0
BBa_J32022,50,84,217,373,218.9243,10,19,92,257,125,44,10,0
BBa_J33208,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J33209,2,90,73,339,112.88049999999998,15,7,175,221,167,46,36,0
BBa_I754000,2,90,73,339,112.88049999999998,15,7,175,221,167,46,36,0
BBa_J34804,2,43,118,244,129.3071,7,18,81,156,91,39,8,0
BBa_J34802,0,143,208,471,227.43089999999998,13,31,277,340,203,84,38,0
BBa_J36801,12,68,101,334,142.72770000000003,9,11,129,222,119,46,10,0
BBa_J34808,11,63,128,231,133.8405,4,10,55,176,95,33,4,0
BBa_J36836,0,6,10,17,8.187899999999999,0,0,8,12,11,3,0,0
BBa_J36802,5,18,57,122,67.02509999999998,2,6,33,76,34,9,2,0
BBa_J36804,21,131,246,576,299.25010000000003,13,27,228,410,210,56,21,0
BBa_J36840,0,28,41,145,52.4212,5,2,57,74,66,31,11,0
BBa_J36841,0,28,42,150,54.0217,5,2,57,76,72,32,11,0
BBa_J36837,0,29,41,109,48.3285,3,3,45,71,52,16,3,0
BBa_J36842,0,29,40,146,51.4622,4,2,60,75,67,30,11,0
BBa_J37023,8,67,178,247,171.91779999999997,8,19,60,200,66,28,2,0
BBa_J37029,26,99,138,367,166.9081,19,20,142,256,152,53,11,0
BBa_J42000,27,155,319,650,351.40959999999995,21,39,269,466,238,102,30,0
BBa_J42020,12,62,98,297,132.1888,12,4,136,212,97,44,15,0
BBa_J42021,14,59,105,286,131.9236,9,5,133,198,99,40,18,0
BBa_J45001,30,109,226,416,241.69179999999997,9,32,106,310,139,41,6,0
BBa_J45002,20,101,212,373,222.1574,11,21,76,279,109,51,7,0
BBa_J45003,35,147,181,494,238.24669999999998,18,16,101,365,148,42,7,0
BBa_J45007,20,98,238,379,238.63060000000002,11,29,45,288,100,46,3,0
BBa_J45005,36,102,171,413,210.52209999999997,10,13,84,304,115,39,3,0
BBa_J45006,26,110,352,502,346.3275,13,55,94,367,148,63,8,0
BBa_J45009,51,140,331,594,344.0378,11,43,134,425,204,76,12,0
BBa_J45501,0,24,37,138,60.16440000000001,3,5,54,87,44,12,7,0
BBa_J49005,0,0,41,0,23.820999999999998,0,39,0,0,0,0,0,0
BBa_J49007,1,0,0,1,0.104,0,0,0,1,0,0,0,0
BBa_J51000,62,170,562,715,528.8583,10,106,139,531,180,91,10,0
BBa_J51002,17,69,287,298,251.0619,3,38,51,227,70,30,3,0
BBa_J51001,7,47,131,225,144.02999999999997,7,18,58,174,55,21,1,0
BBa_J52013,19,245,173,868,301.67849999999993,32,22,245,575,345,99,32,0
BBa_J54001,9,67,145,351,168.99739999999997,10,14,179,235,150,51,18,0
BBa_J51003,3,161,207,572,253.237,14,26,319,420,226,83,40,0
BBa_J54000,2,46,135,228,131.4574,4,22,139,150,102,47,15,0
BBa_J54002,5,80,134,315,152.67179999999996,6,12,192,223,136,49,19,0
BBa_J54003,6,77,137,343,160.36419999999998,9,10,169,224,151,54,15,0
BBa_J54011,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J54004,6,77,137,343,160.36419999999998,9,10,169,224,151,54,15,0
BBa_J56001,1,51,55,188,76.31649999999999,12,2,62,122,74,35,6,1
BBa_J56002,0,107,182,603,251.22729999999999,19,15,292,384,210,105,33,0
BBa_J56003,6,114,229,539,259.86330000000004,13,30,305,367,223,84,33,0
BBa_J54012,1,45,92,249,115.7026,5,9,153,173,99,32,21,0
BBa_J56006,0,59,102,323,136.49110000000002,12,4,164,211,114,52,17,0
BBa_J56005,0,47,80,276,113.35620000000002,7,11,126,170,96,53,16,0
BBa_J56018,0,51,54,184,75.50529999999999,11,2,63,120,72,35,6,1
BBa_J56008,3,51,125,227,123.4121,4,23,121,154,95,45,14,0
BBa_J56009,2,63,103,308,134.4902,8,6,183,210,128,39,18,0
BBa_J61999,0,3,2,3,1.2882,0,0,1,3,3,0,0,0
BBa_J61213,10,46,144,198,134.35,6,19,49,139,72,38,3,0
BBa_J62004,1,6,3,23,5.1515,1,2,16,15,20,3,4,0
BBa_J62002,1,5,4,21,4.6534,0,2,19,12,17,3,3,0
BBa_J62003,0,5,3,25,5.545300000000001,0,0,14,15,15,1,3,0
BBa_J62006,1,12,7,50,11.485800000000001,1,2,33,30,33,6,6,0
BBa_J62005,0,118,155,535,224.2636,11,11,268,371,191,66,29,0
BBa_J62007,2,12,7,48,11.092,2,4,36,30,38,7,8,0
BBa_J62008,3,27,14,103,23.875999999999994,4,7,69,64,75,14,14,0
BBa_J62010,3,148,169,643,249.43779999999995,16,18,337,439,269,81,43,0
BBa_J62009,1,126,159,561,230.21519999999998,12,13,287,387,211,70,32,0
BBa_J07055,13,257,349,1136,454.6543,31,38,552,744,497,137,74,1
BBa_J64003,9,43,123,136,104.545,3,28,42,103,48,17,1,0
BBa_J64002,5,24,63,103,65.51519999999998,2,5,44,76,23,19,0,0
BBa_J64004,11,69,83,268,112.43209999999999,9,22,65,183,104,36,3,0
BBa_J64012,6,42,94,185,97.77489999999999,4,18,73,138,73,21,5,0
BBa_J64009,8,42,71,134,73.17849999999999,2,11,42,101,56,21,5,0
BBa_J64014,3,12,90,69,70.9936,1,23,17,47,17,4,0,0
BBa_J64007,0,5,6,12,7.440199999999999,0,1,0,12,2,1,0,1
BBa_J64016,7,20,61,102,60.9856,2,13,26,73,31,12,0,0
BBa_J64019,14,48,76,155,86.5194,2,11,53,131,38,13,4,0
BBa_J64017,0,4,5,15,6.8925,0,1,4,12,7,2,0,0
BBa_J64021,5,36,101,150,97.8532,2,22,55,116,52,14,6,0
BBa_J64025,2,16,58,101,60.677499999999995,2,5,45,67,27,18,0,0
BBa_J64027,8,27,92,176,91.5072,4,14,81,118,62,9,6,0
BBa_J64023,1,26,68,114,67.09629999999999,3,11,43,84,43,13,5,0
BBa_J64702,15,102,176,373,197.2171,6,31,135,284,127,39,8,0
BBa_J64704,15,62,113,228,128.0421,1,25,75,180,71,29,6,0
BBa_J64029,1,8,26,38,24.302100000000003,0,6,12,30,16,3,0,0
BBa_J64705,9,119,218,406,233.03640000000001,13,27,143,311,141,46,11,0
BBa_J64036,11,70,81,264,110.947,8,22,59,181,103,35,3,0
BBa_J64701,24,125,294,525,317.931,9,56,150,389,149,70,16,0
BBa_J64706,9,76,154,271,162.5607,7,18,93,206,89,34,6,0
BBa_J64707,7,18,65,109,65.2978,5,6,38,77,31,13,2,0
BBa_J64805,6,117,189,423,217.8975,12,13,171,320,160,53,18,0
BBa_J64820,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J64822,7,70,69,310,118.87559999999999,17,5,121,210,123,28,24,0
BBa_J64806,10,106,239,453,252.91909999999996,13,26,201,322,176,75,18,0
BBa_J64821,7,103,46,417,104.83019999999999,22,6,287,261,237,46,58,0
BBa_J64952,3,38,83,158,86.6479,6,16,70,114,71,22,12,0
BBa_J64905,11,122,223,431,223.64649999999995,4,30,200,299,198,83,14,0
BBa_J64971,6,78,136,312,161.9595,11,24,128,236,125,39,13,0
BBa_J64969,7,59,75,237,99.8505,6,8,118,158,102,36,12,0
BBa_J64906,15,123,202,448,216.88369999999998,9,36,283,318,197,79,37,0
BBa_J64978,0,79,94,438,160.34859999999998,18,5,142,251,170,73,21,0
BBa_J70000,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J70005,11,92,429,434,363.99760000000003,15,52,90,310,91,90,2,0
BBa_J70007,14,31,294,173,221.98319999999995,0,45,27,139,38,17,0,0
BBa_J70006,11,93,434,439,368.8686,14,56,88,314,91,91,2,0
BBa_J70024,6,83,500,473,423.3001000000001,2,62,93,330,99,69,1,0
BBa_J70001,0,265,482,1310,571.3309,27,35,566,810,551,177,61,0
BBa_J70584,37,123,238,554,271.14110000000005,18,40,123,368,230,64,8,0
BBa_J70560,9,52,152,234,150.56439999999995,4,15,36,169,76,28,3,0
BBa_J70598,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J70601,0,116,140,436,185.15939999999998,20,9,273,298,174,71,36,0
BBa_J70599,0,119,141,434,179.08059999999998,8,11,237,298,182,78,23,0
BBa_J70583,37,121,245,491,272.4475,11,42,98,357,162,46,13,0
BBa_J70600,0,282,254,1061,381.96139999999997,36,17,651,689,501,197,89,0
BBa_J70603,0,63,46,216,73.6979,6,5,120,139,100,38,21,0
BBa_K895002,13,247,237,793,300.442,21,41,387,560,421,116,45,0
BBa_J70645,0,120,139,435,178.50459999999998,8,11,237,299,182,78,23,0
BBa_J70650,0,63,45,216,73.1169,6,5,120,139,100,38,21,0
BBa_J70649,0,109,119,390,155.51449999999997,12,7,218,264,164,76,23,0
BBa_J70647,1,116,139,441,186.54439999999997,21,9,273,302,174,72,36,0
BBa_J70648,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J70646,0,284,253,1066,382.6786,37,17,651,693,503,197,90,0
BBa_J70656,9,52,152,234,150.56439999999995,4,15,36,169,76,28,3,0
BBa_J70658,9,58,158,244,156.0719,4,15,36,174,82,31,3,0
BBa_J72006,23,99,348,367,301.5888,5,53,37,282,103,46,3,0
BBa_J72012,35,65,249,321,225.69689999999997,9,47,49,232,109,34,6,0
BBa_J72010,16,240,338,1077,445.76250000000005,23,40,588,713,481,167,66,1
BBa_J72019,4,8,10,29,14.830799999999998,1,0,4,24,10,2,0,0
BBa_J72023,2,5,14,32,16.799,2,1,12,21,11,4,2,0
BBa_J72030,1,4,4,21,7.6208,2,0,3,13,8,4,1,0
BBa_J72028,0,0,1,11,4.4312,1,0,0,7,2,0,0,0
BBa_J72032,2,1,10,19,11.363299999999999,1,0,7,12,3,2,1,0
BBa_J72031,2,3,3,25,8.1236,1,0,7,17,7,1,0,0
BBa_J72033,1,2,6,15,6.9915,2,2,4,9,6,2,0,0
BBa_J72035,3,3,4,26,8.1408,1,0,4,13,11,3,0,0
BBa_J72040,14,12,81,158,95.9095,7,21,48,98,39,23,4,0
BBa_J72041,0,3,7,11,7.4352,1,2,0,7,2,1,0,0
BBa_J72089,10,57,150,283,161.0202,8,25,124,202,96,26,8,0
BBa_J72121,0,0,13,4,8.265199999999998,0,6,4,2,2,0,0,0
BBa_J72128,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J72126,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J72127,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J72129,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J72130,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J72164,4,125,266,628,301.09909999999996,11,34,352,411,278,96,50,0
BBa_J72165,4,30,37,99,41.2768,2,4,36,66,48,16,5,0
BBa_J72180,11,55,204,297,196.7247,4,29,92,216,85,34,5,0
BBa_J78000,60,261,874,1281,847.8591,14,124,235,887,410,142,14,0
BBa_J85125,1,29,74,164,84.21459999999999,6,8,90,114,49,27,8,0
BBa_J92007,1,107,294,486,288.76520000000005,8,49,321,378,194,79,38,0
BBa_J92004,12,28,97,173,100.64489999999998,1,12,42,106,56,28,4,0
BBa_J92000,17,146,165,783,266.44259999999997,23,14,429,494,344,115,55,0
BBa_J92008,3,89,251,473,266.1233,20,33,304,328,173,86,28,0
BBa_J92009,0,68,141,237,141.27429999999998,5,17,166,172,93,44,15,0
BBa_J92006,1,107,294,486,288.76520000000005,8,49,321,378,194,79,38,0
BBa_J92010,0,15,52,83,51.666799999999995,1,2,42,58,31,15,4,0
BBa_J92005,3,177,390,865,438.83779999999996,31,41,602,608,362,133,69,0
BBa_J92012,0,10,27,34,23.3173,1,4,24,24,15,3,0,0
BBa_J92011,0,10,24,51,25.009099999999997,2,4,32,33,24,10,3,0
BBa_J92014,1,65,160,307,156.73089999999996,7,30,260,196,136,54,29,0
BBa_J92013,2,48,94,167,93.60329999999999,8,15,102,119,67,39,5,0
BBa_J92017,6,15,64,68,52.5954,2,17,14,49,16,6,3,0
BBa_J92016,6,8,76,65,60.70139999999999,1,15,10,41,16,6,2,0
BBa_J92018,9,16,95,113,88.5966,1,14,19,77,19,11,0,0
BBa_J96046,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_J96047,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_K076009,13,87,53,392,106.3605,13,15,207,255,201,37,36,0
BBa_K076010,29,130,147,601,222.67069999999998,16,20,111,369,257,69,27,0
BBa_K076014,3,62,42,309,81.5575,2,8,181,191,150,31,29,0
BBa_K076008,11,163,101,648,193.1274,22,24,228,384,333,79,43,0
BBa_K076002,15,71,35,365,90.07459999999999,12,18,143,194,209,41,27,0
BBa_K078005,9,71,103,337,142.7153,13,10,137,237,130,49,10,0
BBa_K078006,19,135,134,475,187.7274,19,16,231,330,208,66,28,0
BBa_K078007,16,62,74,333,116.8618,10,10,173,212,166,39,27,0
BBa_K082004,8,85,122,380,156.32789999999997,8,9,204,253,180,64,26,1
BBa_K078009,5,77,99,329,130.3959,11,21,167,218,173,38,31,0
BBa_K090000,0,86,150,461,193.08739999999997,15,17,172,278,183,88,18,0
BBa_K089003,2,153,95,654,183.62239999999997,20,2,492,408,328,93,70,0
BBa_K089002,1,77,51,305,98.25219999999999,12,3,155,209,150,35,19,0
BBa_K091002,15,132,218,558,253.0908,16,21,250,381,238,85,25,0
BBa_K082005,2,106,113,379,144.0436,13,3,209,253,171,46,25,0
BBa_K089001,0,126,64,471,126.71779999999998,20,5,311,315,276,50,62,0
BBa_K091121,8,84,124,378,156.7999,8,11,204,251,180,64,26,1
BBa_K090601,0,6,19,51,26.5,1,2,14,36,12,7,2,0
BBa_K091001,11,82,144,305,161.1524,8,21,162,237,126,45,18,0
BBa_K091122,8,84,124,376,156.6848,8,11,204,250,179,64,26,1
BBa_K091124,8,84,124,378,156.3179,8,11,204,250,180,65,26,1
BBa_K091127,8,84,124,376,156.2028,8,11,204,249,179,65,26,1
BBa_K093014,28,166,200,651,277.8508,9,12,192,436,248,77,18,0
BBa_K094011,12,154,191,595,242.3262,17,33,204,404,268,66,19,1
BBa_K093002,21,59,80,280,120.55519999999999,8,10,102,191,113,26,8,0
BBa_I742114,0,162,193,571,227.8395,21,20,402,382,290,123,49,0
BBa_K093015,22,174,171,741,278.3363,20,20,443,544,362,63,60,0
BBa_K098997,8,69,132,257,137.32959999999994,5,24,65,186,95,30,4,1
BBa_K094110,2,41,66,129,69.17859999999999,1,9,57,100,53,24,7,0
BBa_K094113,7,21,36,125,46.419699999999985,5,4,57,72,59,11,7,0
BBa_K098989,11,164,311,658,340.8631,14,19,233,450,246,76,23,0
BBa_K100009,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I742134,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_K1010008,5,98,109,381,143.90810000000002,17,11,231,249,183,72,41,0
BBa_K1012004,1,3,13,23,14.596699999999997,0,4,15,14,7,0,1,0
BBa_K1015006,60,125,332,472,300.1767,4,54,154,322,191,80,8,0
BBa_K1019000,14,53,111,193,113.60010000000003,2,21,68,142,74,25,7,0
BBa_K1012002,2,7,15,38,17.446599999999997,1,2,32,27,19,5,2,0
BBa_K1019003,11,51,92,245,112.0055,8,8,120,164,95,44,10,0
BBa_K1019005,0,84,121,379,153.67989999999998,17,7,140,243,159,57,17,0
BBa_K1015001,43,102,262,405,262.0441,12,28,79,303,105,49,2,0
BBa_K1018000,8,112,80,460,140.81,11,15,183,274,251,54,28,0
BBa_K1020002,8,44,180,276,179.61519999999993,4,26,77,181,89,37,5,0
BBa_K1020006,135,456,618,1738,755.5477,51,81,903,1162,808,256,97,0
BBa_K1021000,8,80,115,326,145.5584,10,19,163,222,133,65,25,0
BBa_K1025000,3,56,99,242,118.63499999999998,8,7,121,177,88,35,14,0
BBa_K1023015,18,71,84,321,123.57799999999999,12,15,114,202,152,33,19,0
BBa_K1027003,0,48,67,195,82.41969999999999,8,5,78,130,86,35,9,0
BBa_K1021006,2,45,76,204,93.3697,4,4,67,127,79,30,10,0
BBa_K1026003,7,7,28,32,23.3766,2,7,10,24,6,3,1,0
BBa_K1026001,59,267,1036,1261,969.8362999999998,16,175,264,981,296,158,16,0
BBa_K103007,0,11,1,15,3.4187,0,0,2,14,8,1,0,0
BBa_K103008,31,78,78,219,99.187,8,11,72,166,81,28,7,1
BBa_K103011,0,2,0,6,1.8842,1,0,0,5,2,1,0,0
BBa_K1031100,23,175,178,756,270.0957,29,13,376,509,333,85,39,0
BBa_I757003,0,42,87,178,97.24249999999999,3,5,91,140,68,23,9,0
BBa_K1031620,18,135,180,608,252.8041,22,12,288,410,247,70,40,0
BBa_K1033002,18,132,207,444,226.10860000000002,12,21,88,307,167,70,15,0
BBa_K1033115,0,31,54,125,64.3689,6,6,39,86,46,24,6,0
BBa_K1040001,5,34,76,165,84.90569999999998,2,8,69,113,59,23,4,0
BBa_K1049001,30,104,314,539,333.86400000000003,12,37,128,382,141,63,12,0
BBa_K1039024,165,356,435,1505,607.8589,55,43,742,1066,662,166,100,1
BBa_K1044001,23,168,212,776,322.03989999999993,26,29,356,507,313,91,49,0
BBa_K1051103,1,4,25,18,19.9743,1,7,3,12,3,2,0,0
BBa_K1051104,1,8,14,39,18.491,1,0,9,25,12,7,0,0
BBa_K1051102,7,8,15,38,16.279300000000003,2,1,22,21,15,5,4,0
BBa_K1051101,5,1,14,25,14.793299999999999,0,2,6,15,3,3,0,0
BBa_K1051106,4,6,25,32,23.4687,0,4,7,22,7,5,1,0
BBa_K1051110,2,4,18,22,16.8053,0,3,3,17,3,2,0,0
BBa_K1051114,16,25,80,165,89.02979999999998,4,6,31,115,42,21,7,0
BBa_K1051115,13,28,81,136,77.71549999999999,3,7,27,89,39,28,2,0
BBa_K1051107,1,7,14,26,12.9868,0,1,9,16,8,4,2,0
BBa_K1051108,5,3,14,45,17.872300000000003,0,0,14,24,16,4,2,0
BBa_K1051129,11,60,164,267,165.52719999999997,6,15,41,188,86,35,3,0
BBa_K1051111,0,3,17,17,15.7972,0,1,6,17,2,2,0,0
BBa_K1051109,6,10,14,31,15.731,0,2,13,25,13,1,1,0
BBa_K1051118,1,0,5,8,5.0901000000000005,0,0,4,5,1,0,0,0
BBa_K1051130,12,60,183,269,177.73819999999998,6,16,43,193,85,36,4,0
BBa_K1051116,15,127,339,739,390.195,17,40,152,497,238,84,16,0
BBa_K1051131,14,58,175,260,170.50489999999996,5,19,39,185,81,33,4,0
BBa_K1051117,0,0,3,0,1.7429999999999999,0,0,0,0,0,1,0,0
BBa_K1051136,16,91,172,310,175.86699999999996,6,16,59,241,103,31,3,0
BBa_K1051135,15,91,153,308,163.65599999999998,6,15,57,236,104,30,2,0
BBa_K1051134,23,80,231,364,224.75170000000003,8,22,59,252,113,56,5,0
BBa_K1051133,26,77,230,393,236.066,9,21,63,278,116,49,10,0
BBa_K1051112,2,3,17,22,17.856099999999998,0,5,1,18,1,2,0,0
BBa_K1051139,30,108,219,434,234.1948,9,21,79,326,134,44,9,0
BBa_K1051705,27,63,197,255,179.85739999999998,4,31,41,178,74,36,2,0
BBa_K1051140,27,111,220,405,222.88049999999996,8,22,75,300,131,51,4,0
BBa_K1051800,73,409,661,1714,826.5741,44,112,421,1227,586,171,46,0
BBa_K1053104,2,66,54,277,100.9096,9,7,119,187,113,27,13,0
BBa_K1051503,25,60,345,611,364.5842,14,35,126,356,184,86,12,0
BBa_K1051137,18,89,164,301,168.6337,5,19,55,233,99,28,3,0
BBa_K1054003,1,60,134,233,137.4241,4,25,89,171,83,36,3,0
BBa_K1054000,4,21,50,82,50.7724,0,4,43,54,27,16,1,0
BBa_K1054010,8,64,76,198,93.97090000000001,7,11,65,148,70,23,7,1
BBa_K1054011,7,53,28,138,46.404799999999994,3,3,36,103,59,16,2,0
BBa_K1054002,2,25,55,82,53.77029999999999,0,8,29,62,26,10,2,0
BBa_K1051501,25,60,345,613,365.2742,14,35,126,357,184,87,12,0
BBa_K1059017,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_K1059015,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_K106000,10,52,151,227,146.5492,6,17,27,161,74,28,2,0
BBa_K106004,2,103,46,335,94.46039999999999,4,10,119,219,185,28,22,0
BBa_K1059091,5,105,54,370,113.829,18,12,190,256,207,47,32,0
BBa_K1054024,11,24,96,128,89.1758,1,18,47,90,47,17,5,0
BBa_K1054022,53,91,231,379,230.59179999999998,9,20,89,266,131,47,11,0
BBa_K106028,10,52,151,227,146.5492,6,17,27,161,74,28,2,0
BBa_K106010,36,188,289,694,358.288,16,22,193,515,196,85,19,0
BBa_K106005,2,102,47,334,95.03029999999998,4,10,119,218,184,28,22,0
BBa_K1064004,28,129,262,564,298.7553999999999,15,41,66,385,190,75,9,0
